idx,code,avg,slg,bbk,wpa,re24,obp
0,50066,0.1,0.1,0.0,-0.166,-1.3,0.1
1,50357,0.0,0.0,0.25,-0.042,-0.37,0.091
2,50500,0.125,0.125,1.0,0.0,0.0,0.222
3,50854,0.263,0.368,2.0,-0.021,0.0,0.364
4,51403,0.294,0.353,0.0,-0.051,-0.26,0.294
5,51417,0.522,0.739,0.0,0.044,1.19,0.522
6,51463,0.15,0.2,0.2,-0.094,-1.35,0.19
7,51817,0.278,0.333,1.2,-0.027,0.14,0.458
8,51907,0.125,0.125,0.091,-0.047,-0.25,0.263
9,52009,0.286,0.524,0.5,-0.015,0.5,0.348
10,52415,0.118,0.176,0.0,-0.054,-0.58,0.118
11,52547,0.167,0.333,0.4,-0.035,-0.01,0.25
12,52591,0.25,0.3,0.0,0.024,-0.24,0.238
13,52605,0.375,0.667,0.2,-0.045,-0.67,0.4
14,53123,0.278,0.5,0.5,-0.056,-0.07,0.35
15,53211,0.462,0.538,4.0,0.084,0.75,0.667
16,53554,0.25,0.25,0.0,-0.023,-0.34,0.231
17,53716,0.182,0.364,0.0,-0.113,-0.95,0.182
18,53764,0.263,0.316,0.0,-0.025,-0.2,0.3
19,53827,0.35,0.55,0.4,0.16,0.57,0.409
20,53955,0.312,0.438,0.6,-0.026,-0.51,0.4
21,61102,0.333,0.333,1.0,-0.011,-0.23,0.353
22,62234,0.176,0.235,0.333,-0.039,-0.38,0.263
23,62404,0.312,0.5,1.0,-0.015,-0.46,0.353
24,62415,0.267,0.467,3.0,0.047,0.31,0.368
25,62907,0.348,0.435,0.0,-0.01,0.06,0.348
26,62925,0.5,0.75,1.0,0.0,0.49,0.5
27,62931,0.062,0.125,0.143,-0.083,-0.84,0.118
28,62947,0.435,0.739,0.0,-0.03,-0.33,0.435
29,63123,0.348,0.609,0.0,0.024,0.11,0.348
30,63202,0.364,0.364,0.333,0.0,0.0,0.467
31,63260,0.077,0.077,0.333,-0.07,-0.96,0.143
32,63905,0.389,0.444,0.167,-0.08,-0.54,0.4
33,63920,0.308,0.308,0.2,0.0,0.0,0.375
34,63963,0.167,0.167,0.5,-0.044,-0.29,0.273
35,64007,0.222,0.333,0.0,0.0,-0.32,0.2
36,64022,0.0,0.0,1.0,0.0,0.0,0.25
37,64153,0.25,0.417,0.333,0.018,-0.06,0.28
38,64166,0.214,0.214,1.0,-0.042,-0.44,0.353
39,64340,0.158,0.211,0.429,-0.012,-0.22,0.273
40,64560,0.154,0.385,6.0,0.0,0.3,0.421
41,64610,0.3,0.4,0.25,0.0,0.0,0.333
42,64646,0.389,0.389,1.0,0.061,0.21,0.364
43,65207,0.6,0.7,1.0,0.067,0.63,0.583
44,65357,0.118,0.118,3.0,-0.052,-0.93,0.273
45,65610,0.471,0.529,1.0,0.024,0.2,0.5
46,65703,0.2,0.2,0.0,-0.07,-0.76,0.176
47,65898,0.333,0.333,1.0,-0.017,-0.25,0.417
48,66108,0.429,0.619,0.0,0.139,1.49,0.435
49,66233,0.364,0.455,0.25,0.0,-0.24,0.417
50,66614,0.273,0.273,0.25,0.0,0.0,0.385
51,66657,0.364,0.409,0.4,0.066,1.4,0.417
52,66715,0.118,0.176,0.6,-0.024,-0.57,0.25
53,66864,0.286,0.286,1.0,-0.004,-0.11,0.4
54,67006,0.385,0.385,0.0,0.0,0.0,0.385
55,67304,0.429,0.476,0.75,0.006,0.29,0.5
56,67341,0.476,0.571,2.0,0.025,0.49,0.5
57,67449,0.2,0.4,0.5,0.0,0.0,0.273
58,67893,0.444,0.5,0.0,-0.014,0.16,0.444
59,68119,0.25,0.25,2.0,0.014,0.38,0.316
60,68525,0.188,0.438,0.25,-0.094,-0.76,0.235
61,68743,0.167,0.389,1.0,0.01,0.14,0.238
62,69102,0.176,0.176,0.667,-0.035,-0.41,0.263
63,69306,0.231,0.308,0.333,-0.023,-0.23,0.333
64,69517,0.222,0.278,0.571,0.04,0.37,0.391
65,69737,0.368,1.211,1.667,0.187,1.28,0.52
66,69992,0.364,0.409,0.0,0.054,0.24,0.364
67,69995,0.235,0.471,0.6,-0.05,-0.43,0.35
68,71837,0.2,0.2,3.0,-0.003,-0.47,0.357
69,72443,0.25,0.625,2.5,0.06,1.05,0.478
70,73113,0.364,0.545,0.667,0.018,0.05,0.462
71,74206,0.5,0.643,4.0,-0.058,0.24,0.65
72,74540,0.333,0.733,1.333,0.064,0.48,0.474
73,75125,0.444,0.5,4.0,0.111,1.14,0.565
74,76290,0.316,0.316,3.0,0.039,0.52,0.409
75,76313,0.235,0.294,1.333,0.071,0.31,0.409
76,76802,0.235,0.235,2.0,-0.024,-0.73,0.286
77,76812,0.222,0.333,1.0,-0.025,-0.24,0.333
78,77532,0.2,0.2,0.667,-0.048,-0.56,0.261
79,78122,0.286,0.429,2.0,0.0,-0.18,0.364
80,78224,0.143,0.333,0.571,-0.056,-0.54,0.308
81,78288,0.471,0.529,2.0,0.0,0.22,0.526
82,79109,0.053,0.211,0.0,-0.09,-0.87,0.053
83,79192,0.158,0.211,1.0,-0.054,-0.42,0.238
84,79231,0.15,0.15,1.0,-0.005,-0.25,0.28
85,79240,0.292,0.458,0.5,-0.039,-0.41,0.32
86,79365,0.211,0.474,0.333,-0.011,-0.27,0.25
87,79402,0.4,0.55,1.0,0.007,0.25,0.435
88,79456,0.286,0.429,0.333,-0.027,-0.32,0.333
89,79608,0.267,0.467,1.0,0.025,0.35,0.4
